Travel Branding;Name/Line;Location;Regio;Route;Vervoersregio;Concessie;Transport company;Formula Promise;Materieel;Note;Prijs km;Type;Category;Distance;Avg. Speed;;Average Stop distance;;Stations;Duration;Frequency (max);;Peak Pax day;Use of Buslane?;Dinstance on Buslane;Max speed;Promoted Speed;Operating hours;Connected to Hubs?;Kind of Hub;Source;;;;PvE
Limburgliner;370;;Limburg;Venlo - Weert;;Limburg;Arriva;Fast, comfort;;Weert 1x per uur;;Inter-city Long HOV;1;46777;28,9;;935,5;;50;97;2;;;;;;;;;;Limburgliner - OV in Nederland Wiki;Über uns - AVV;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
Limburgliner;350;;Limburg;Maastricht - Aachen;;Limburg;Arriva;Fast, comfort;Streekbus extra comfort;Comfortable Bus;;Inter-city Long HOV;1;33528;28,7;;882,3;;38;70;4;;;;;;;;;;Limburgliner - OV in Nederland Wiki;Über uns - AVV;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
Limburgliner;372;;Limburg;Roermond - Venlo;;Limburg;Arriva;Fast, comfort;To-city HOV;Normal Bus;;Inter-city Long HOV;1;46919;43,3;;1173;;40;65;2;;;;;;;;;;Limburgliner - OV in Nederland Wiki;Über uns - AVV;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
Limburgliner;377;;Limburg;Roermond - Venlo;;Limburg;Arriva;Fast, comfort;To-city HOV;Normal Bus;;Inter-city Long HOV;1;34084;37,2;;1002,5;;34;55;2;;;;;;;;;;Limburgliner - OV in Nederland Wiki;Über uns - AVV;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
Limburgliner;371;;Limburg;Weert - Meijel;;Limburg;Arriva;Fast, comfort;;;;Inter-city Long HOV;1;32348;42,2;;1540,4;;21;46;1;;;;;;;;;;Limburgliner - OV in Nederland Wiki;Über uns - AVV;;;C:\Users\eichlas\Downloads\Deel B - PvE Busvervoer Almere v4 DEF.pdf
Q-liner;324;;Groningen;Emmeloord - Groningen via Drachten;;;Arriva;Direct, frequent, fast, comfort;;evening, 100 km/h, seatbelts;0,213;Inter-city Long HOV;1;106458;54,1;;6262,2;;17;118;1;;;;;;;;Y;Busstatino - Busstation - Busstation - A32 - Busstation - A32 - Transferium - P+R A7 - Hoofdstation;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;350;;Groningen;Alkmaar - Leeuwaarden;;;Arriva;;;snelbus, 100 km/h, seatbelts;0,213;Inter-city Long HOV;1;114534;61,4;;8810,3;;13;112;1;;;;;;;;Y;Station - Bustation - Bustation;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;315;;Groningen;Emmeloord - Groningen;;;Arriva;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;103162;58,4;;8596,8;;12;106;4;;;;;100;;;Y;Busstation - Busstation - A32 - Busstation - A32 - P+R - Hoofdstation;Q-liner (qbuzz.nl);ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;320;;Groningen;Leeuwarden - Drachten Heerenveen;;;Arriva;;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;54373;51;;3398,3;;16;64;3;;;;;;;;Y;Bustation -;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;312;;Groningen;Stadskanaal - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;47810;46,3;;2173,2;;22;62;5;;;;;100;;;;;Q-liner (qbuzz.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;300;;Groningen;Emmen - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;58079;61,1;;7259,9;;8;57;5;;;;;100;;;;;Q-liner (qbuzz.nl);;;;C:\Users\eichlas\Downloads\Ontwerp-Programma-van-eisen-OV-concesssies-Utrecht-Binnen-en-Utrecht-Buiten.pdf
Q-liner;314;;Groningen;Drachten - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;40851;50;;3404,2;;12;49;5;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;304;;Groningen;Drachten - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;41094;54,8;;3424,5;;12;45;4;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;310;;Groningen;Assem - Veendam;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;37111;49,5;;1855,6;;20;45;3;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;355;;Groningen;Dokkum - Leeuwaarden;;;Arriva;;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;30344;46,7;;3371,6;;9;39;2;;;;;;;;Y;Busstation - Busstation;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;
Q-liner;309;;Groningen;Assen - Groningen;;;Qbuzz;Direct, frequent, fast, comfort;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;28633;44,1;;1908,9;;15;39;11;;;;;100;;;;;Q-liner (qbuzz.nl);;;;
Q-liner;356;;Groningen;Dokkum - Drachten;;;Arriva;;;100 km/h, seatbelts;0,213;Inter-city Long HOV;1;40068;63,3;;5723,9;;7;38;1;;;;;;;;Y;Busstation - Transferium;ontwerp_programma_van_eisen_busconcessie_2024-2034.pdf (sim-cdn.nl);;;;
Q-link;15;;Groningen;Zernike Campus - Hoofdstation;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;7220;25,5;;1031,4;;7;17;8;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;11;;Groningen;P+R Reitdiep - Hoofdstation;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;10147;30,4;;780,5;;13;20;2;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;6;;Groningen;P+R Haren A28 - Delfzijl;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;36547;26,7;;745,9;;49;82;4;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;4;;Groningen;Roden - Beijum;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;26412;25,6;;677,2;;39;62;5;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;1;;Groningen;P+R Reitdiep - Hofdstation;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;7484;18;;393,9;;19;25;2;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;2;;Groningen;Zuidhorn - Groningen Europapark;;;Qbuzz;Direct, frequent, fast, comfort;;;;City HOV;2;9671;14,5;;372;;26;40;3;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;5;;Groningen;Annen Torsluis / Harkstede;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;15552;11,8;;317,4;;49;79;4;;;;;;;;;;Q-link (qbuzz.nl);;;;
Q-link;3;;Groningen;Tolbert / Leek Oostindie - Ruischerbrug;;;Qbuzz;Direct, frequent, fast, comfort;;;;To-city HOV;3;;;;;;42;63;6;;;;;;;;;;Q-link (qbuzz.nl);;;;
R-net;436;;;Rotterdam - Dirksland;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;Variable timetable;;To-city HOV;3;71212;57;;6473,8;;11;75;3;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;437;;;Rotterdam - Dirksland ( spitssneldienst);;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;Only spits;;To-city HOV;3;53747;52;;5971,9;;9;62;2;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;346;;;Haarlem – Amsterdam Zuid;;;Connexxion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;28404;32,2;;2840,4;;10;53;8;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;470;;;Alphen aan den Rijn - Schiphol;;;Arriva;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;25682;37,6;;2568,2;;10;41;7;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;306;;;Amsterdam CS – Purmerend Overwhere;;;EBS;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;35836;67,2;;2239,7;;16;32;5;;;;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
R-net;320;;;Hilversum - Amsterdam Amstel;;;Connexion;Betrouwbaar, frequent, comfortable, hubs, snel;;;;To-city HOV;3;49134;33,5;;1965,4;;25;88;5;;;Y;;;;;;;WAAR RIJDT R-NET NU? - R-net (rnet.nl);OVER R-NET - R-net (rnet.nl);;;
